variable_name,description
CASEID,(id) Case identification
V000,Country code and phase
V001,Cluster number
V002,Household number
V003,Respondent's line number
V004,Ultimate area unit
V005,Women's individual sample weight (6 decimals)
V006,Month of interview
V007,Year of interview
V008,Date of interview (CMC)
V008A,Date of interview Century Day Code (CDC)
V009,Respondent's month of birth
V010,Respondent's year of birth
V011,Date of birth (CMC)
V012,Respondent's current age
V013,Age in 5-year groups
V014,Completeness of age information
V015,Result of individual interview
V016,Day of interview
V017,CMC start of calendar
V018,Row of month of interview
V019,Length of calendar
V019A,Number of calendar columns
V020,Ever-married sample
V021,Primary sampling unit
V022,Sample strata for sampling errors
V023,Stratification used in sample design
V024,Region
V025,Type of place of residence
V026,NA - De facto place of residence
V027,Number of visits
V028,Interviewer identification
V029,NA - Keyer identification
V030,Field supervisor
V031,NA - Field editor
V032,NA - Office editor
V034,Line number of husband
V040,Cluster altitude in meters
V042,Household selected for hemoglobin
V044,Selected for Domestic Violence module
V045A,Language of questionnaire
V045B,Language of interview
V045C,Native language of respondent
V046,Translator used
V047,Team number
V048,NA - Team supervisor
V101,Region
V102,Type of place of residence
V103,NA - Childhood place of residence
V104,Years lived in place of residence
V105,Type of place of previous residence
V105A,Region of previous residence
V106,Highest educational level
V107,Highest year of education
V113,Source of drinking water
V115,Time to get to water source
V116,Type of toilet facility
V119,Household has: electricity
V120,Household has: radio
V121,Household has: television
V122,Household has: refrigerator
V123,Household has: bicycle
V124,Household has: motorcycle/scooter
V125,Household has: car/truck
V127,Main floor material
V128,Main wall material
V129,Main roof material
V130,Religion
V131,NA - Ethnicity
V133,Education in single years
V134,NA - De facto place of residence
V135,Usual resident or visitor
V136,Number of household members (listed)
V137,Number of children 5 and under in household (de
V138,Number of eligible women in household (de facto
V139,De jure region of residence
V140,De jure type of place of residence
V141,NA - De jure place of residence
V149,Educational attainment
V150,Relationship to household head
V151,Sex of household head
V152,Age of household head
V153,Household has: telephone (land-line)
AWFACTT,All woman factor - total
AWFACTU,All woman factor - urban/rural
AWFACTR,All woman factor - regional
AWFACTE,All woman factor - educational
AWFACTW,All woman factor - wealth index
V155,Literacy
V156,NA - Ever participated in a literacy program ou
V157,Frequency of reading newspaper or magazine
V158,Frequency of listening to radio
V159,Frequency of watching television
V160,Toilet facilities shared with other households
V161,Type of cooking fuel
V166,NA - Result of salt test for iodine
V167,NA - Number of trips in last 12 months
V168,NA - Away for more than one month in last 12 mo
V169A,Owns a mobile telephone
V169B,Last 12 months use mobile telephone for financi
V169C,Is respondent's mobile phone a smart phone
V170,Has an account in a bank or other financial ins
V171A,Use of internet
V171B,Frequency of using internet last month
V172,Respondent state of birth
V173,Respondent country of birth
V174M,Month move to current place of residence
V174Y,Year move to current place of residence
V175,Reason for moving to current place of residence
V176,Self reported health status
V177,Money put/taken from bank account last 12 month
V190,Wealth index combined
V191,Wealth index factor score combined (5 decimals)
V190A,Wealth index for urban/rural
V191A,Wealth index factor score for urban/rural (5 de
ML101,NA - Type of mosquito bed net(s) slept under la
BIDX,Birth column number
BIDXP,Index to pregnancy history
BORD,Birth order number
B0,Child is twin
B1,Month of birth
B2,Year of birth
B3,Date of birth (CMC)
B4,Sex of child
B5,Child is alive
B6,Age at death
B7,"Age at death (months, imputed)"
B8,Current age of child
B9,Child lives with whom
B10,Completeness of information
B11,Preceding birth interval (months)
B12,Succeeding birth interval (months)
B13,Flag for age at death
B15,Live birth between births
B16,Child's line number in household
B17,Day of birth
B18,Century Day Code of birth (CDC)
B19,Current age of child in months (months since bi 1210
B20,Duration of pregnancy in months
B21,Duration of pregnancy
PIDX,Pregnancy column number
PIDXB,Index to birth history
PORD,Pregnancy order number
P0,Pregnancy is multiple
P1,Month of pregnancy outcome
P2,Year of pregnancy outcome
P3,Date of end of pregnancy (CMC)
P4,Sex of child
P5,Child is alive
P6,Age at death
P7,"Age at death (months, imputed)"
P8,Current age of child
P9,Child lives with whom
P10,Completeness of information
P11,Preceding pregnancy interval (months)
P12,Succeeding pregnancy interval (months)
P13,Flag for age at death
P15,Other pregnancies between pregnancies
P16,Child's line number in household
P17,Day of pregnancy outcome
P18,Century Day Code of end of pregnancy (CDC)
P19,Months since pregnancy outcome
P20,Duration of pregnancy in months
P21,Duration of pregnancy
P30,Pregnancy outcome declared by respondent
P31,"Baby cried, moved or breathed"
P32,Pregnancy outcome reclassified
V201,Total children ever born
V202,Sons at home
V203,Daughters at home
V204,Sons elsewhere
V205,Daughters elsewhere
V206,Sons who have died
V207,Daughters who have died
V208,Births in last five years
V209,Births in past year
V210,Births in month of interview
V211,Date of first birth (CMC)
V212,Age of respondent at 1st birth
V213,Currently pregnant
V214,Duration of current pregnancy in months
V214A,Duration of current pregnancy original
V215,Time since last menstrual period
V216,Menstruated in last six weeks
V217,Knowledge of ovulatory cycle
V218,Number of living children
V219,Living children + current pregnancy
V220,Living children + current pregnancy (grouped)
V221,Marriage to first birth interval (months)
V222,Last birth to interview (months)
V223,Completeness of current pregnancy information
V224,Entries in birth history
V225,Current pregnancy wanted
V226,Time since last period (comp) (months)
V227,Flag for last period
V228,Ever had a terminated pregnancy
V229,Month pregnancy ended
V230,Year pregnancy ended
V231,CMC pregnancy ended
V232,Completeness of last termination information
V233,Months when pregnancy ended
V234,Other such pregnancies
V235,Index last child prior to maternity-health (cal 2578
V237,Birth between last and interview
V238,Births in last three years
V239,Pregnancies terminated before calendar beginnin 2582
V240,Month of last termination prior to calendar
V241,Year of last termination prior to calendar
V242,CMC termination ended prior to calendar
V243,Completeness of last termination date prior to
V244,Can women get pregnant after birth and before p 2594
V245,Pregnancy losses
V246,Entries in pregnancy history
V247A,Collection of menstrual blood: reusable sanitar 2599
V247B,Collection of menstrual blood: disposable sanit 2600
V247C,Collection of menstrual blood: tampons
V247D,Collection of menstrual blood: menstrual cup
V247E,Collection of menstrual blood: cloth
V247F,Collection of menstrual blood: toilet paper
V247G,Collection of menstrual blood: cotton wool
