LONGNUM,LATNUM,value,size,n_women,cluster_id
18.22679185,-1.543185872,0.1538461538461538,456.25,13.0,1
20.79229693,-6.419753497,0.06666666666666668,600.0,15.0,2
19.58104536,-4.981956007,0.07142857142857141,528.125,14.0,3
15.06141125,-5.455590604,0.125,96.875,8.0,4
29.11033469,-3.365125231,0.16666666666666669,384.375,12.0,5
23.47798695,-10.27621601,0.0,528.125,14.0,6
26.93301588,-6.043548458,0.0,456.25,13.0,7
24.05994863,1.741765088,0.3333333333333333,384.375,12.0,8
25.92706571,-3.92067245,0.2222222222222222,168.75,9.0,9
30.94467687,2.318920021,0.10000000000000002,240.625,10.0,10
19.11454974,-3.802397495,0.0,312.5,11.0,11
25.70360679,-8.914075678,0.0909090909090909,312.5,11.0,12
25.89175389,-8.600499515,0.08333333333333333,384.375,12.0,13
29.76111835,-7.392493193,0.0,168.75,9.0,14
15.37505794,-4.367322973,0.0,456.25,13.0,15
20.85569099,2.649209258,0.23076923076923078,456.25,13.0,16
21.39056859,-4.007804876,0.0769230769230769,456.25,13.0,17
19.98659456,-1.552096565,0.21428571428571433,528.125,14.0,18
24.84332092,-3.978399786,0.1111111111111111,168.75,9.0,19
26.91945036,-5.363976402,0.09090909090909091,312.5,11.0,20
28.27749859,2.214183945,0.0,240.625,10.0,21
25.85693348,-9.196588191,0.0,384.375,12.0,22
20.14690361,4.283774368,0.0,240.625,10.0,23
28.84149273,-4.24153126,0.21428571428571425,528.125,14.0,24
20.81255095,-5.858582154,0.09999999999999999,240.625,10.0,25
18.54147767,-7.870300151,0.2222222222222222,168.75,9.0,26
25.58618841,-7.37670943,0.09999999999999999,240.625,10.0,27
23.46118497,-6.625288094,0.09999999999999999,240.625,10.0,28
19.79763271,1.236245283,0.0,384.375,12.0,29
29.31777283,0.120441194,0.0,600.0,16.0,30
26.10689066,-2.451921997,0.09090909090909093,312.5,11.0,31
17.47945857,-6.830237092,0.0769230769230769,456.25,13.0,32
22.83599547,0.206249861,0.09090909090909091,312.5,11.0,33
