LONGNUM,LATNUM,value,size,n_women,cluster_id,variable,meaning
18.22679185,-1.543185872,0.46153846153846145,231.25,13.0,1,D108,Sexual IPV
20.79229693,-6.419753497,0.2,300.0,15.0,2,D108,Sexual IPV
19.58104536,-4.981956007,0.14285714285714282,265.625,14.0,3,D108,Sexual IPV
15.06141125,-5.455590604,0.125,59.375,8.0,4,D108,Sexual IPV
29.11033469,-3.365125231,0.16666666666666669,196.875,12.0,5,D108,Sexual IPV
23.47798695,-10.27621601,0.07142857142857145,265.625,14.0,6,D108,Sexual IPV
26.93301588,-6.043548458,0.0,231.25,13.0,7,D108,Sexual IPV
24.05994863,1.741765088,0.5,196.875,12.0,8,D108,Sexual IPV
25.92706571,-3.92067245,0.6666666666666667,93.75,9.0,9,D108,Sexual IPV
30.94467687,2.318920021,0.5000000000000001,128.125,10.0,10,D108,Sexual IPV
19.11454974,-3.802397495,0.09090909090909091,162.5,11.0,11,D108,Sexual IPV
25.70360679,-8.914075678,0.0,162.5,11.0,12,D108,Sexual IPV
25.89175389,-8.600499515,0.0,196.875,12.0,13,D108,Sexual IPV
29.76111835,-7.392493193,0.1111111111111111,93.75,9.0,14,D108,Sexual IPV
15.37505794,-4.367322973,0.07692307692307691,231.25,13.0,15,D108,Sexual IPV
20.85569099,2.649209258,0.23076923076923078,231.25,13.0,16,D108,Sexual IPV
21.39056859,-4.007804876,0.1538461538461538,231.25,13.0,17,D108,Sexual IPV
19.98659456,-1.552096565,0.42857142857142866,265.625,14.0,18,D108,Sexual IPV
24.84332092,-3.978399786,0.0,93.75,9.0,19,D108,Sexual IPV
26.91945036,-5.363976402,0.27272727272727276,162.5,11.0,20,D108,Sexual IPV
28.27749859,2.214183945,0.0,128.125,10.0,21,D108,Sexual IPV
25.85693348,-9.196588191,0.0,196.875,12.0,22,D108,Sexual IPV
20.14690361,4.283774368,0.19999999999999998,128.125,10.0,23,D108,Sexual IPV
28.84149273,-4.24153126,0.4285714285714285,265.625,14.0,24,D108,Sexual IPV
20.81255095,-5.858582154,0.5,128.125,10.0,25,D108,Sexual IPV
18.54147767,-7.870300151,0.2222222222222222,93.75,9.0,26,D108,Sexual IPV
25.58618841,-7.37670943,0.19999999999999998,128.125,10.0,27,D108,Sexual IPV
23.46118497,-6.625288094,0.3,128.125,10.0,28,D108,Sexual IPV
19.79763271,1.236245283,0.41666666666666663,196.875,12.0,29,D108,Sexual IPV
29.31777283,0.120441194,0.0,300.0,16.0,30,D108,Sexual IPV
26.10689066,-2.451921997,0.0,162.5,11.0,31,D108,Sexual IPV
17.47945857,-6.830237092,0.0,231.25,13.0,32,D108,Sexual IPV
22.83599547,0.206249861,0.45454545454545453,162.5,11.0,33,D108,Sexual IPV
22.74441013,-8.08566,0.19999999999999998,128.125,10.0,34,D108,Sexual IPV
25.21285634,0.515580924,0.07142857142857144,265.625,14.0,35,D108,Sexual IPV
16.23504056,-2.165854066,0.1666666666666667,196.875,12.0,36,D108,Sexual IPV
19.68035599,-2.927382071,0.2222222222222222,93.75,9.0,37,D108,Sexual IPV
25.41313144,-0.351919546,0.16666666666666666,196.875,12.0,38,D108,Sexual IPV
16.79435191,-4.868509261,0.1,128.125,10.0,39,D108,Sexual IPV
22.70690097,-9.757259085,0.08333333333333333,196.875,12.0,40,D108,Sexual IPV
22.90992975,-5.391041221,0.18181818181818182,162.5,11.0,41,D108,Sexual IPV
16.30276191,-3.018548428,0.25,196.875,12.0,42,D108,Sexual IPV
17.5244401,-4.285927902,0.39999999999999997,128.125,10.0,43,D108,Sexual IPV
22.22391338,-0.631749055,0.23076923076923078,231.25,13.0,44,D108,Sexual IPV
21.52351025,2.519281246,0.07142857142857142,265.625,14.0,45,D108,Sexual IPV
15.42231786,-4.416663824,0.0,162.5,11.0,46,D108,Sexual IPV
24.36153885,-7.919710725,0.6,25.0,5.0,47,D108,Sexual IPV
29.2959649,0.085793814,0.125,59.375,8.0,48,D108,Sexual IPV
28.04623273,-1.360603221,0.30000000000000004,128.125,10.0,49,D108,Sexual IPV
19.88255381,1.067605447,0.0,265.625,14.0,50,D108,Sexual IPV
15.49450018,-4.865330514,0.19999999999999998,128.125,10.0,51,D108,Sexual IPV
31.06967883,2.13850291,0.36363636363636365,162.5,11.0,52,D108,Sexual IPV
21.73756067,2.308840129,0.4000000000000001,128.125,10.0,53,D108,Sexual IPV
28.63337488,-2.07360202,0.0,25.0,7.0,54,D108,Sexual IPV
25.45978842,-8.148601624,0.07142857142857144,265.625,14.0,55,D108,Sexual IPV
17.69580196,-4.230572935,0.08333333333333333,196.875,12.0,56,D108,Sexual IPV
20.81179097,-5.413116622,0.30000000000000004,128.125,10.0,57,D108,Sexual IPV
22.73743462,4.229149441,0.15384615384615383,231.25,13.0,58,D108,Sexual IPV
21.21963531,-6.851497351,0.0,300.0,15.0,59,D108,Sexual IPV
19.86821143,4.851609783,0.33333333333333337,25.0,6.0,60,D108,Sexual IPV
29.71746419,-12.226984,0.375,59.375,8.0,61,D108,Sexual IPV
27.03110706,-5.083155414,0.07692307692307691,231.25,13.0,62,D108,Sexual IPV
25.64729896,-7.04957974,0.36363636363636365,162.5,11.0,63,D108,Sexual IPV
23.65988174,-6.510475283,0.19999999999999998,25.0,5.0,64,D108,Sexual IPV
23.48813893,-6.116133995,0.1666666666666667,196.875,12.0,65,D108,Sexual IPV
17.58373881,-4.918590011,0.125,59.375,8.0,66,D108,Sexual IPV
23.50922327,1.213970078,0.3846153846153846,231.25,13.0,67,D108,Sexual IPV
15.4260037,-5.79857867,0.0,196.875,12.0,68,D108,Sexual IPV
26.55601147,-7.971935952,0.2727272727272727,162.5,11.0,69,D108,Sexual IPV
22.49440191,3.963677556,0.23076923076923073,231.25,13.0,70,D108,Sexual IPV
24.05474808,3.467589319,0.0,25.0,7.0,71,D108,Sexual IPV
17.6695134,-2.712555572,0.33333333333333337,196.875,12.0,72,D108,Sexual IPV
16.38181756,-5.276314804,0.2,128.125,10.0,73,D108,Sexual IPV
18.70777888,-1.137735285,0.14285714285714285,25.0,7.0,74,D108,Sexual IPV
19.84006059,-0.768511462,0.30769230769230776,231.25,13.0,75,D108,Sexual IPV
15.23646283,-4.428785403,0.1,128.125,10.0,76,D108,Sexual IPV
