feature,importance
d105b,0.6597418212418824
d103c,0.12285420054475164
d110a,0.07572994693836198
d105h,0.06703740361349601
d103a,0.04876761659715354
d109a,0.00949225854291694
v456a,0.008208344665780673
p18_01,0.004636113902767503
v137,0.003532293952888482
b1_01,8.932111799802907e-16
h12u_2,0.0
h12v_4,0.0
h12w_5,0.0
h12w_4,0.0
h12w_3,0.0
h12w_2,0.0
h12w_1,0.0
h12v_6,0.0
h12v_5,0.0
h12v_2,0.0
h12v_3,0.0
h12u_1,0.0
h12v_1,0.0
h12t_6,0.0
h12w_6,0.0
h12u_5,0.0
h12u_4,0.0
h12u_3,0.0
h12u_6,0.0
v002,0.0
h12x_1,0.0
h12t_4,0.0
h13_2,0.0
h13_1,0.0
h12z_6,0.0
h12z_5,0.0
h12z_4,0.0
h12z_3,0.0
h12z_2,0.0
h12z_1,0.0
h12y_6,0.0
h12y_5,0.0
h12y_4,0.0
h12y_3,0.0
h12y_2,0.0
h12y_1,0.0
h12x_6,0.0
h12x_5,0.0
h12x_4,0.0
h12x_3,0.0
h12x_2,0.0
h12t_5,0.0
h12s_6,0.0
h12t_3,0.0
h12nc_4,0.0
h12nc_2,0.0
h12nc_1,0.0
h12nb_6,0.0
h12nb_5,0.0
h12nb_4,0.0
h12nb_3,0.0
h12nb_2,0.0
h12nb_1,0.0
h12na_6,0.0
h12na_5,0.0
h12na_4,0.0
h12na_3,0.0
h12na_2,0.0
h12na_1,0.0
h12r_6,0.0
h12r_5,0.0
h12r_4,0.0
h12r_3,0.0
h12r_2,0.0
h12nc_3,0.0
h12nc_5,0.0
h12t_2,0.0
h12nc_6,0.0
h12t_1,0.0
h13_4,0.0
h12s_5,0.0
h12s_4,0.0
h12s_3,0.0
h12s_2,0.0
h12s_1,0.0
h12ne_6,0.0
h12ne_5,0.0
h12ne_4,0.0
h12ne_3,0.0
h12ne_2,0.0
h12ne_1,0.0
h12nd_6,0.0
h12nd_5,0.0
h12nd_4,0.0
h12nd_3,0.0
h12nd_2,0.0
h12nd_1,0.0
h13_3,0.0
h13b_2,0.0
h13_5,0.0
h15e_2,0.0
h15h_4,0.0
h15h_3,0.0
h15h_2,0.0
h15h_1,0.0
h15g_6,0.0
h15g_5,0.0
h15g_4,0.0
h15g_3,0.0
h15g_2,0.0
h15g_1,0.0
h15f_6,0.0
h15f_5,0.0
h15f_4,0.0
h15f_3,0.0
h15f_2,0.0
h15f_1,0.0
h15e_6,0.0
h15e_5,0.0
h15e_4,0.0
h15h_5,0.0
h15h_6,0.0
h15i_1,0.0
h15j_6,0.0
h15l_2,0.0
h15l_1,0.0
h15k_6,0.0
h15k_5,0.0
h15k_4,0.0
h15k_3,0.0
h15k_2,0.0
h15k_1,0.0
h15j_5,0.0
h15i_2,0.0
h15j_4,0.0
h15j_3,0.0
h15j_2,0.0
h15j_1,0.0
h15i_6,0.0
h15i_5,0.0
h15i_4,0.0
h15i_3,0.0
h15e_3,0.0
h15e_1,0.0
h13_6,0.0
h15d_6,0.0
h15a_1,0.0
h15_6,0.0
h15_5,0.0
h15_4,0.0
h15_3,0.0
h15_2,0.0
h15_1,0.0
h14_6,0.0
h14_5,0.0
h14_4,0.0
h14_3,0.0
h14_2,0.0
h14_1,0.0
h13b_6,0.0
h13b_5,0.0
h13b_4,0.0
h13b_3,0.0
h12q_6,0.0
h13b_1,0.0
h15a_2,0.0
h15a_3,0.0
h15a_4,0.0
h15c_3,0.0
h15d_5,0.0
h15d_4,0.0
h15d_3,0.0
h15d_2,0.0
h15d_1,0.0
h15c_6,0.0
h15c_5,0.0
h15c_4,0.0
h15c_2,0.0
h15a_5,0.0
h15c_1,0.0
