dataset,year,title_suffix,n_total,n_inside_drc,n_outside_drc,jpg_path,pdf_path
ACLED,2020,Year 2020,5117,3620,1497,/Users/gerritprivat/Documents/devel/Gerrit - DRC collab /DRCcode/output/3_compare_acled_2020.jpg,/Users/gerritprivat/Documents/devel/Gerrit - DRC collab /DRCcode/output/3_compare_acled_2020.pdf
Uppsala GED,2020,Year 2020,981,832,149,/Users/gerritprivat/Documents/devel/Gerrit - DRC collab /DRCcode/output/3_compare_uppsala_2020.jpg,/Users/gerritprivat/Documents/devel/Gerrit - DRC collab /DRCcode/output/3_compare_uppsala_2020.pdf
ACLED,2021,Year 2021,6375,4370,2005,/Users/gerritprivat/Documents/devel/Gerrit - DRC collab /DRCcode/output/3_compare_acled_2021.jpg,/Users/gerritprivat/Documents/devel/Gerrit - DRC collab /DRCcode/output/3_compare_acled_2021.pdf
Uppsala GED,2021,Year 2021,948,809,139,/Users/gerritprivat/Documents/devel/Gerrit - DRC collab /DRCcode/output/3_compare_uppsala_2021.jpg,/Users/gerritprivat/Documents/devel/Gerrit - DRC collab /DRCcode/output/3_compare_uppsala_2021.pdf
ACLED,2022,Year 2022,5610,4178,1432,/Users/gerritprivat/Documents/devel/Gerrit - DRC collab /DRCcode/output/3_compare_acled_2022.jpg,/Users/gerritprivat/Documents/devel/Gerrit - DRC collab /DRCcode/output/3_compare_acled_2022.pdf
Uppsala GED,2022,Year 2022,1313,1199,114,/Users/gerritprivat/Documents/devel/Gerrit - DRC collab /DRCcode/output/3_compare_uppsala_2022.jpg,/Users/gerritprivat/Documents/devel/Gerrit - DRC collab /DRCcode/output/3_compare_uppsala_2022.pdf
ACLED,2023,Year 2023,4455,3279,1176,/Users/gerritprivat/Documents/devel/Gerrit - DRC collab /DRCcode/output/3_compare_acled_2023.jpg,/Users/gerritprivat/Documents/devel/Gerrit - DRC collab /DRCcode/output/3_compare_acled_2023.pdf
Uppsala GED,2023,Year 2023,912,828,84,/Users/gerritprivat/Documents/devel/Gerrit - DRC collab /DRCcode/output/3_compare_uppsala_2023.jpg,/Users/gerritprivat/Documents/devel/Gerrit - DRC collab /DRCcode/output/3_compare_uppsala_2023.pdf
ACLED,2024,Year 2024,3668,2790,878,/Users/gerritprivat/Documents/devel/Gerrit - DRC collab /DRCcode/output/3_compare_acled_2024.jpg,/Users/gerritprivat/Documents/devel/Gerrit - DRC collab /DRCcode/output/3_compare_acled_2024.pdf
Uppsala GED,2024,Year 2024,884,783,101,/Users/gerritprivat/Documents/devel/Gerrit - DRC collab /DRCcode/output/3_compare_uppsala_2024.jpg,/Users/gerritprivat/Documents/devel/Gerrit - DRC collab /DRCcode/output/3_compare_uppsala_2024.pdf
ACLED,all,Aggregate (2020-2024),25225,18237,6988,/Users/gerritprivat/Documents/devel/Gerrit - DRC collab /DRCcode/output/3_compare_acled_all_years.jpg,/Users/gerritprivat/Documents/devel/Gerrit - DRC collab /DRCcode/output/3_compare_acled_all_years.pdf
Uppsala GED,all,Aggregate (2020-2024),5038,4451,587,/Users/gerritprivat/Documents/devel/Gerrit - DRC collab /DRCcode/output/3_compare_uppsala_all_years.jpg,/Users/gerritprivat/Documents/devel/Gerrit - DRC collab /DRCcode/output/3_compare_uppsala_all_years.pdf
