variable,variable_description,drought_class_label,source_columns,drought_months_class,n_total,n_yes,n_no,frac_yes_unweighted,frac_yes_unweighted_ci_lower,frac_yes_unweighted_ci_upper,weighted_total,weighted_yes,frac_yes_weighted,frac_yes_weighted_ci_lower,frac_yes_weighted_ci_upper,used_weighting
IPV12M_ANY,"Any IPV by husband/partner (last 12m, emotional/physical/sexual)",0 drought months,d103a;d103b;d103c;d105a;d105b;d105c;d105d;d105e;d105f;d105j;d105h;d105i;d105k,0,5702,2366,3336,0.41494212556997545,0.402661346895826,0.42722290424412485,4266.28816,1609.1311199999986,0.37717356625999654,0.35507303874183715,0.3987702319054725,True
IPV12M_ANY,"Any IPV by husband/partner (last 12m, emotional/physical/sexual)",>=1 drought month,d103a;d103b;d103c;d105a;d105b;d105c;d105d;d105e;d105f;d105j;d105h;d105i;d105k,1,2960,966,1994,0.32635135135135135,0.31114864864864866,0.34425675675675677,3661.371595,988.0921140000006,0.26986938866007143,0.24584428108774667,0.2958598269863782,True
IPV12M_EMOTIONAL,Emotional IPV by husband/partner (last 12m),0 drought months,d103a;d103b;d103c,0,5702,1509,4193,0.26464398456681865,0.2527183444405472,0.2756927393896878,4266.28816,1037.924347000001,0.24328510125767056,0.2233788765095656,0.2623017269225353,True
IPV12M_EMOTIONAL,Emotional IPV by husband/partner (last 12m),>=1 drought month,d103a;d103b;d103c,1,2960,600,2360,0.20270270270270271,0.18951013513513515,0.21756756756756757,3661.371595,604.5752900000001,0.16512262530949146,0.1451099589574265,0.18755655660543927,True
IPV12M_PHYSICAL_LESS_SEV,Less severe physical IPV by husband/partner (last 12m),0 drought months,d105a;d105b;d105c;d105j,0,5702,1579,4123,0.2769203788144511,0.26569624693090144,0.28868379515959314,4266.28816,1041.6387170000014,0.24415573396242446,0.2247920682843379,0.26362972098089016,True
IPV12M_PHYSICAL_LESS_SEV,Less severe physical IPV by husband/partner (last 12m),>=1 drought month,d105a;d105b;d105c;d105j,1,2960,602,2358,0.20337837837837838,0.1895185810810811,0.21824324324324323,3661.371595,615.3458660000001,0.16806430323552016,0.14891914727137961,0.19139369427774777,True
IPV12M_PHYSICAL_SEVERE,Severe physical IPV by husband/partner (last 12m),0 drought months,d105d;d105e;d105f,0,5702,391,5311,0.06857243072606103,0.062079095054366894,0.07471062784987724,4266.28816,259.24087999999995,0.060764971862566346,0.050881322734752835,0.07095161622330007,True
IPV12M_PHYSICAL_SEVERE,Severe physical IPV by husband/partner (last 12m),>=1 drought month,d105d;d105e;d105f,1,2960,146,2814,0.04932432432432433,0.041891891891891894,0.057432432432432436,3661.371595,119.596132,0.03266429776298081,0.025578374614454655,0.040642796261988225,True
IPV12M_SEXUAL,Sexual IPV by husband/partner (last 12m),0 drought months,d105h;d105i;d105k,0,5702,898,4804,0.15748860049105576,0.1483689933356717,0.1664328305857594,4266.28816,580.1784250000001,0.1359913824948946,0.12255001868594818,0.1501793986557525,True
IPV12M_SEXUAL,Sexual IPV by husband/partner (last 12m),>=1 drought month,d105h;d105i;d105k,1,2960,331,2629,0.11182432432432432,0.10168918918918919,0.12364864864864865,3661.371595,307.977016,0.08411520328080767,0.07001067278894539,0.09987875760741255,True
SEXUAL_VIOLENCE_ANY,Sexual violence (any; D108==1 or D124==1 or D125==1),0 drought months,sexual_violence_any,0,5702,1233,4469,0.21623991581901086,0.2057172921781831,0.22693791652051912,4266.28816,818.3072450000009,0.1918077762942297,0.1753840310255866,0.20859033125199442,True
SEXUAL_VIOLENCE_ANY,Sexual violence (any; D108==1 or D124==1 or D125==1),>=1 drought month,sexual_violence_any,1,2960,477,2483,0.16114864864864864,0.1493158783783784,0.17567567567567569,3661.371595,452.37795100000017,0.1235542307745467,0.10721994852768367,0.14143015276881166,True
SEXUAL_VIOLENCE_RECENT,"Sexual violence (recent; D105H/I/K in {1,2})",0 drought months,sexual_violence_recent,0,5702,898,4804,0.15748860049105576,0.1483689933356717,0.1664328305857594,4266.28816,580.1784250000001,0.1359913824948946,0.12255001868594818,0.1501793986557525,True
SEXUAL_VIOLENCE_RECENT,"Sexual violence (recent; D105H/I/K in {1,2})",>=1 drought month,sexual_violence_recent,1,2960,331,2629,0.11182432432432432,0.10168918918918919,0.12364864864864865,3661.371595,307.977016,0.08411520328080767,0.07001067278894539,0.09987875760741255,True
NONPARTNER_PHYSICAL_12M,Hit by someone other than husband/partner (last 12m),0 drought months,d117a,0,849,221,628,0.26030624263839813,0.2308598351001178,0.29213780918727916,647.788458,176.19819999999999,0.27199959774522564,0.21120895628755967,0.3428377191506029,True
NONPARTNER_PHYSICAL_12M,Hit by someone other than husband/partner (last 12m),>=1 drought month,d117a,1,418,91,327,0.21770334928229665,0.17942583732057416,0.2607655502392344,410.47327199999995,108.071076,0.2632840756559663,0.18733292497254167,0.3505718917259185,True
PREV_PARTNER_PHYSICAL_12M,Physical violence by previous partner (0-11 months ago),0 drought months,d130a,0,5622,53,5569,0.009427250088936322,0.006937033084311633,0.012273212379935965,4218.006432,26.744518,0.0063405588472085096,0.003942436299917153,0.008986731358195423,True
PREV_PARTNER_PHYSICAL_12M,Physical violence by previous partner (0-11 months ago),>=1 drought month,d130a,1,2931,26,2905,0.008870692596383487,0.005791538723984996,0.012623677925622655,3623.994238,34.546896,0.009532823103787726,0.00477178460026593,0.015034780483973553,True
PREV_PARTNER_SEXUAL_12M,Sexual violence by previous partner (0-11 months ago),0 drought months,d130b,0,5637,54,5583,0.009579563597658328,0.007095973035302466,0.012240553485896753,4225.531487,30.426109999999998,0.007200540356546158,0.004670160085460361,0.0101154294194111,True
PREV_PARTNER_SEXUAL_12M,Sexual violence by previous partner (0-11 months ago),>=1 drought month,d130b,1,2945,29,2916,0.009847198641765705,0.0064516129032258064,0.013582342954159592,3648.104432,28.361461,0.007774300744030893,0.003688182600951376,0.01335483578270189,True
PREV_PARTNER_EMOTIONAL_12M,Emotional violence by previous partner (0-11 months ago),0 drought months,d130c,0,5644,46,5598,0.00815024805102764,0.006024096385542169,0.01063518781006378,4228.494036,20.784528,0.004915349962196329,0.0029453238468165064,0.007125233780966866,True
PREV_PARTNER_EMOTIONAL_12M,Emotional violence by previous partner (0-11 months ago),>=1 drought month,d130c,1,2942,14,2928,0.004758667573079538,0.002379333786539769,0.007146498980285512,3643.06755,16.371488,0.004493874399885887,0.00129037877876301,0.008794730995377262,True
