variable,variable_desc,wealth,wealth_label,education,education_label,prevalence,prevalence_pct,n_women
D106,Physical IPV,1,Poorest,0,No education,0.38238993710691827,38.23899371069183,795
D106,Physical IPV,1,Poorest,1,Primary,0.496900826446281,49.6900826446281,968
D106,Physical IPV,1,Poorest,2,Secondary,0.4192073170731707,41.920731707317074,656
D106,Physical IPV,1,Poorest,3,Higher,0.0,0.0,1
D106,Physical IPV,2,Poorer,0,No education,0.42723880597014924,42.723880597014926,536
D106,Physical IPV,2,Poorer,1,Primary,0.42992874109263657,42.99287410926366,842
D106,Physical IPV,2,Poorer,2,Secondary,0.40380047505938244,40.38004750593824,842
D106,Physical IPV,2,Poorer,3,Higher,0.0,0.0,3
D106,Physical IPV,3,Middle,0,No education,0.3989071038251366,39.89071038251366,366
D106,Physical IPV,3,Middle,1,Primary,0.3993808049535604,39.93808049535604,646
D106,Physical IPV,3,Middle,2,Secondary,0.32329084588644263,32.329084588644264,863
D106,Physical IPV,3,Middle,3,Higher,0.06666666666666667,6.666666666666667,15
D106,Physical IPV,4,Richer,0,No education,0.2894736842105263,28.947368421052634,114
D106,Physical IPV,4,Richer,1,Primary,0.4368231046931408,43.682310469314075,277
D106,Physical IPV,4,Richer,2,Secondary,0.3483652762119504,34.83652762119504,887
D106,Physical IPV,4,Richer,3,Higher,0.2708333333333333,27.083333333333332,48
D106,Physical IPV,5,Richest,0,No education,0.3076923076923077,30.76923076923077,13
D106,Physical IPV,5,Richest,1,Primary,0.425,42.5,40
D106,Physical IPV,5,Richest,2,Secondary,0.29071803852889666,29.071803852889666,571
D106,Physical IPV,5,Richest,3,Higher,0.18994413407821228,18.994413407821227,179
